id,question,source_record,status,current_priority
G31,有合格目标时，先采再搜能否胜过先看全再采？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
G32,补搜视角应增加所有检测，还是增加能立即过执行门限的目标？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
G33,在都可采的目标中，先采哪个能顺带打开后续视线？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
G34,采下一芽后，原来排队的其他目标还有多少位置和置信度仍有效？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
G35,等候选清零再补搜，还是在候选变少时提前准备下一批？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
G36,怎样区分这一区域已搜完与当前视角暂时没有合格目标？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
G37,最终剩下的目标，是从没看见、看见但没过门限，还是采摘失败？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
G38,候选充足、即将接触、最后补漏三个阶段，是否应该使用不同的视角与计算目标？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
A01,低置信度究竟需要换视角、等待，还是调整曝光？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
A02,下一视角应让芽更显眼，还是让叶柄与茎的连接点更清楚？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
A03,风吹使茶枝变形时，哪些旧视角仍值得融合？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
A04,什么时候再拍一张，什么时候已有足够信息，什么时候应放弃？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
A05,只有有限行程和两三个运动轴，能否选到足够好的观察位置？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
B06,相邻茶芽交叉时，如何避免把别枝叶片算到目标芽上？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
B07,第二片叶被遮住时，如何避免把一芽二叶高置信度判成一芽一叶？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
B08,相机靠近或绕行后，如何确认仍在跟踪原来选中的茶芽？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
B09,采摘信息应是一个点，还是带方向和不确定性的可夹持区间？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
B10,换日期或品种后，系统能否识别自己的分级判断已不可靠？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
C11,茶茎只有几个像素宽时，深度是否其实来自后面的叶片？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
C12,离得越近不再更准时，平台应停在哪个工作距离？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
C13,左右图或深度图裁剪后，三维坐标为何会系统性偏移？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
C14,多帧平均虽然更平滑，会不会把摆动茶芽的位置估计拖慢？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
C15,末端重复拆装或受力后，能否快速发现相机—夹爪关系变了？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
D16,ROI缩小到多大时，茶芽摆动或平台运动会让目标逃出窗口？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
D17,网络单帧更准却输出更晚，是否反而使末端对得更差？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
D18,平均FPS够用，偶发慢帧为什么仍使对准失败？,archive/reports/tea_region_38_questions_novelty_audit_2026-09-05.md,historical_candidate_not_committed,以docs/CURRENT_STATE.md与docs/DECISIONS.md为准
