id,canonical_key,title,identifier,primary_url,kind,evidence_level,verification_scope,supported_claim_and_limit,source_record,source_line,recorded_at,record_text
H001,10.3390/s24216777,"Yang et al. *Vision-Based Localization Method for Picking Points in Tea-Harvesting Robots*. Sensors, 2024, 24(21), 6777. DOI: 10.3390/s24216777。出版商；原始摘要",10.3390/s24216777,https://www.mdpi.com/1424-8220/24/21/6777)；[原始摘要](https://pubmed.ncbi.nlm.nih.gov/39517674/,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_camera_end_effector_audit_2026-09-05.md::J01,19,2026-09-05,"| J01 | Yang et al. *Vision-Based Localization Method for Picking Points in Tea-Harvesting Robots*. Sensors, 2024, 24(21), 6777. DOI: 10.3390/s24216777。[出版商](https://www.mdpi.com/1424-8220/24/21/6777)；[原始摘要](https://pubmed.ncbi.nlm.nih.gov/39517674/) | A | 明确有远近景分层视觉伺服：远景识别茶芽 ROI，近景处理茶梗，再融合深度定位采摘点。是本方案首要茶叶基线。其定位结果不能等同于实体低损伤采摘成功率，也不能转移为用户相机精度。 |"
H002,10.1016/j.biosystemseng.2015.12.001,"Barth, Hemming and van Henten. *Design of an eye-in-hand sensing and servo control framework for harvesting robotics in dense vegetation*. Biosystems Engineering, 2016, 146, 71–84. DOI: 10.1016/j.biosystemseng.2015.12.001。作者机构记录与摘要",10.1016/j.biosystemseng.2015.12.001,https://research.wur.nl/en/publications/design-of-an-eye-in-hand-sensing-and-servo-control-framework-for-/,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_camera_end_effector_audit_2026-09-05.md::J02,20,2026-09-05,"| J02 | Barth, Hemming and van Henten. *Design of an eye-in-hand sensing and servo control framework for harvesting robotics in dense vegetation*. Biosystems Engineering, 2016, 146, 71–84. DOI: 10.1016/j.biosystemseng.2015.12.001。[作者机构记录与摘要](https://research.wur.nl/en/publications/design-of-an-eye-in-hand-sensing-and-servo-control-framework-for-/) | A | 密集植被中的末端相机、视觉反馈、轨迹修正和多视点已有框架。验证采用人工甜椒植被的实验室定性试验；可以与真实茶树条件区分，但不能再宣称首创眼在手上农业闭环。 |"
H003,10.1016/j.compag.2025.110668,"Liang et al. *Palm vision and servo control strategy of tomato picking robot based on global positioning*. Computers and Electronics in Agriculture, 2025, 237, 110668. DOI: 10.1016/j.compag.2025.110668。出版商",10.1016/j.compag.2025.110668,https://www.sciencedirect.com/science/article/abs/pii/S0168169925007744,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_camera_end_effector_audit_2026-09-05.md::J03,21,2026-09-05,"| J03 | Liang et al. *Palm vision and servo control strategy of tomato picking robot based on global positioning*. Computers and Electronics in Agriculture, 2025, 237, 110668. DOI: 10.1016/j.compag.2025.110668。[出版商](https://www.sciencedirect.com/science/article/abs/pii/S0168169925007744) | S | 掌心视觉、全局定位与视觉伺服构成直接邻近架构。原始索引涉及全局相机和掌心相机；本次全文访问受限，不据此填写未核验的控制算法、成功率或精度。 |"
H004,10.1016/j.compag.2024.108774,"Chen et al. *Dynamic visual servo control methods for continuous operation of a fruit harvesting robot working throughout an orchard*. Computers and Electronics in Agriculture, 2024, 219, 108774. DOI: 10.1016/j.compag.2024.108774。出版商",10.1016/j.compag.2024.108774,https://www.sciencedirect.com/science/article/abs/pii/S0168169924001650,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_camera_end_effector_audit_2026-09-05.md::J04,22,2026-09-05,"| J04 | Chen et al. *Dynamic visual servo control methods for continuous operation of a fruit harvesting robot working throughout an orchard*. Computers and Electronics in Agriculture, 2024, 219, 108774. DOI: 10.1016/j.compag.2024.108774。[出版商](https://www.sciencedirect.com/science/article/abs/pii/S0168169924001650) | S | 动态视觉伺服与连续采摘操作已有系统研究。只把观察、移动、采摘串成连续流程不足以形成新框架；具体动态控制律仍需全文对比。 |"
H005,10.3390/agriculture16050620,"Kan et al. *A Progressive Hybrid Automatic Switching Visual Servoing Method for Apple-Picking Robots*. Agriculture, 2026, 16(5), 620. DOI: 10.3390/agriculture16050620。出版商",10.3390/agriculture16050620,https://www.mdpi.com/2077-0472/16/5/620,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_camera_end_effector_audit_2026-09-05.md::J05,23,2026-09-05,"| J05 | Kan et al. *A Progressive Hybrid Automatic Switching Visual Servoing Method for Apple-Picking Robots*. Agriculture, 2026, 16(5), 620. DOI: 10.3390/agriculture16050620。[出版商](https://www.mdpi.com/2077-0472/16/5/620) | S | 已有基于深度切换的混合视觉伺服。仅提出“远近阶段切换控制器”风险高；切换阈值必须有新的任务或误差依据。 |"
H006,10.1016/j.compag.2023.107659,"Li et al. *Development and field evaluation of a robotic harvesting system for plucking high-quality tea*. Computers and Electronics in Agriculture, 2023, 206, 107659. DOI: 10.1016/j.compag.2023.107659。出版商",10.1016/j.compag.2023.107659,https://www.sciencedirect.com/science/article/pii/S0168169923000479,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_camera_end_effector_audit_2026-09-05.md::J06,24,2026-09-05,"| J06 | Li et al. *Development and field evaluation of a robotic harvesting system for plucking high-quality tea*. Computers and Electronics in Agriculture, 2023, 206, 107659. DOI: 10.1016/j.compag.2023.107659。[出版商](https://www.sciencedirect.com/science/article/pii/S0168169923000479) | M/S | 真实茶叶采摘系统与实地验证的直接领域参照。此次未取得全文，不能因其参考文献出现 eye-in-hand 就认定自身一定采用同样配置。 |"
H007,10.1002/rob.22559,"He et al. *Localization of Tea Shoots for Robotic Plucking Using Binocular Stereo Vision*. Journal of Field Robotics, 2025. DOI: 10.1002/rob.22559。原始摘要",10.1002/rob.22559,https://onlinelibrary.wiley.com/doi/full/10.1002/rob.22559,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_camera_end_effector_audit_2026-09-05.md::J07,25,2026-09-05,"| J07 | He et al. *Localization of Tea Shoots for Robotic Plucking Using Binocular Stereo Vision*. Journal of Field Robotics, 2025. DOI: 10.1002/rob.22559。[原始摘要](https://onlinelibrary.wiley.com/doi/full/10.1002/rob.22559) | A，本轮沿用前次已核对来源 | 茶梢双目分割、匹配、三角测量与采摘点定位已有。换成低分辨率相机不能单独成为算法创新。 |"
H008,10.4081/jae.2025.1637,Wang et al. *Automated tea shoot picking using the YOLO network and Mamba images segmentation for top-view detection with a monocular camera*. Journal of Agricultural Engineering，2025 年在线、2026 年卷期。DOI: 10.4081/jae.2025.1637。原始摘要,10.4081/jae.2025.1637,https://www.agroengineering.org/jae/article/view/1637,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_camera_end_effector_audit_2026-09-05.md::J08,26,2026-09-05,| J08 | Wang et al. *Automated tea shoot picking using the YOLO network and Mamba images segmentation for top-view detection with a monocular camera*. Journal of Agricultural Engineering，2025 年在线、2026 年卷期。DOI: 10.4081/jae.2025.1637。[原始摘要](https://www.agroengineering.org/jae/article/view/1637) | A，本轮沿用前次已核对来源 | 已采用茶梢检测、裁剪、分割及红外反馈驱动末端的方案。单目顶视可作为减少不可靠深度依赖的对照；模拟茶园实验不能直接推广为自然茶园表现。 |
H009,10.3390/agriculture11020128,"Zhu et al. *Deviation Tolerance Performance Evaluation and Experiment of Picking End Effector for Famous Tea*. Agriculture, 2021, 11(2), 128. DOI: 10.3390/agriculture11020128。出版商",10.3390/agriculture11020128,https://www.mdpi.com/2077-0472/11/2/128,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_camera_end_effector_audit_2026-09-05.md::J09,27,2026-09-05,"| J09 | Zhu et al. *Deviation Tolerance Performance Evaluation and Experiment of Picking End Effector for Famous Tea*. Agriculture, 2021, 11(2), 128. DOI: 10.3390/agriculture11020128。[出版商](https://www.mdpi.com/2077-0472/11/2/128) | S，本轮沿用前次已核对来源 | 负压引导末端与偏差容忍评价已有直接研究。需比较具体结构或新的误差利用机制，不能把“容差大”作为未经比较的创新。 |"
H010,https://www.sciencedirect.com/science/article/pii/S2772375525005489)；[作者机构发表记录](https://jdgcxy.ncu.edu.cn/English/Faculty/MastersSupervisor/c1c991eabff947ffbe272d4813399d3b.htm,"Huang et al. *Towards autonomous premium tea harvesting: A high-efficiency and high-quality path planning based on optimized IABFMT* algorithm in unstructured canopies*. Smart Agricultural Technology, 2025, 12。出版商；作者机构发表记录",,https://www.sciencedirect.com/science/article/pii/S2772375525005489)；[作者机构发表记录](https://jdgcxy.ncu.edu.cn/English/Faculty/MastersSupervisor/c1c991eabff947ffbe272d4813399d3b.htm,historical_record,HISTORY,历史报告原条目迁移；具体F/A/S等与范围见record_text，本次不自动升级核查深度,,archive/reports/tea_camera_end_effector_audit_2026-09-05.md::J10,28,2026-09-05,"| J10 | Huang et al. *Towards autonomous premium tea harvesting: A high-efficiency and high-quality path planning based on optimized IABFMT* algorithm in unstructured canopies*. Smart Agricultural Technology, 2025, 12。[出版商](https://www.sciencedirect.com/science/article/pii/S2772375525005489)；[作者机构发表记录](https://jdgcxy.ncu.edu.cn/English/Faculty/MastersSupervisor/c1c991eabff947ffbe272d4813399d3b.htm) | S | 检索片段涉及机械臂运动中的近距离相机点云，主线为路径规划。本轮未取得正文，保留为后续精读项；不据题名声称其已实现本项目全部视觉反馈与剪切功能。 |"
